Ticker Symbol: BPT
Name: BP Prudhoe Bay Royalty Trust Common Stock
Market Cap: 243790940.00
Country: United States
IPO Year: 
Volume: 104629
Sector: Energy
Industry: Integrated oil Companies

First year of data: 1989.0
Chance;Buy_Day;Buy_Month;Sell_Day;Sell_Month
0.8125;3.0;12.0;30.0;1.0
0.8125;7.0;12.0;5.0;2.0
0.8125;11.0;12.0;7.0;2.0
0.8125;12.0;12.0;8.0;2.0
0.8125;17.0;12.0;13.0;2.0
0.8125;17.0;12.0;13.0;2.0
0.8125;17.0;12.0;13.0;2.0
0.84375;18.0;12.0;14.0;2.0
0.84375;19.0;12.0;15.0;2.0
0.8125;20.0;12.0;19.0;2.0
0.8125;21.0;12.0;20.0;2.0
0.8125;24.0;12.0;21.0;2.0
0.84375;24.0;12.0;21.0;2.0
0.8125;26.0;12.0;22.0;2.0
0.8125;26.0;12.0;22.0;2.0
0.8125;6.0;12.0;5.0;2.0
0.8125;7.0;12.0;6.0;2.0
0.8125;11.0;12.0;8.0;2.0
0.8125;12.0;12.0;11.0;2.0
0.8125;13.0;12.0;12.0;2.0
0.8125;14.0;12.0;13.0;2.0
0.84375;17.0;12.0;14.0;2.0
0.8125;17.0;12.0;14.0;2.0
0.84375;17.0;12.0;14.0;2.0
0.84375;18.0;12.0;15.0;2.0
0.8125;19.0;12.0;19.0;2.0
0.8125;20.0;12.0;20.0;2.0
0.8125;21.0;12.0;21.0;2.0
0.8125;24.0;12.0;22.0;2.0
0.8125;24.0;12.0;22.0;2.0
0.8125;11.0;12.0;11.0;2.0
0.8125;12.0;12.0;12.0;2.0
0.8125;17.0;12.0;15.0;2.0
0.84375;17.0;12.0;15.0;2.0
0.84375;17.0;12.0;15.0;2.0
0.84375;18.0;12.0;19.0;2.0
0.8125;19.0;12.0;20.0;2.0
0.8125;20.0;12.0;21.0;2.0
0.8125;21.0;12.0;22.0;2.0
0.8125;24.0;12.0;25.0;2.0
0.8125;10.0;12.0;11.0;2.0
0.8125;11.0;12.0;12.0;2.0
0.8125;14.0;12.0;15.0;2.0
0.8125;17.0;12.0;19.0;2.0
0.84375;17.0;12.0;19.0;2.0
